,ID,NAME,Playing role
0,43692,Zafar Iqbal,Allrounder
1,39037,Azhar Ali,Top-order batsman
2,232491,Anwar Ali,Bowler
3,39821,Aizaz Cheema,Bowler
4,259410,Ahmed Shehzad,Opening batsman
5,39091,Abdur Rehman,Bowler
6,39836,Abdul Razzaq,Allrounder
7,343305,Bilawal Bhatti,Bowler
8,547092,Ehsan Adil,Bowler
9,40250,Fawad Alam,Top-order batsman
10,512191,Fakhar Zaman,Opening batsman
11,681117,Faheem Ashraf,Bowling allrounder
12,681305,Hasan Ali,Bowler
13,318788,Haris Sohail,Middle-order batsman
14,384518,Hammad Azam,Middle-order batsman
15,227758,Imad Wasim,Allrounder
16,259551,Junaid Khan,Bowler
17,41324,Mohammad Sami,Bowler
18,348148,Mohammad Nawaz,Allrounder
19,429981,Mohammad Irfan,Bowler
20,41434,Mohammad Hafeez,Allrounder
21,41411,Mohammad Asif,Bowler
22,290948,Mohammad Amir,Bowler
23,41282,Mohammad Akram,Bowler
24,43265,Sohail Tanvir,Bowler
25,317252,Sohail Khan,Bowler
26,42657,Shoaib Malik,Middle-order batsman
27,42655,Shoaib Akhtar,Bowler
28,42639,Shahid Afridi,Allrounder
29,1072470,Shaheen Afridi,Bowler
30,922943,Shadab Khan,Allrounder
31,42628,Saqlain Mushtaq,Bowler
32,42683,Salman Butt,Batsman
33,448243,Rumman Raees,Bowler
34,42699,Saeed Ajmal,Bowler
35,323244,Rahat Ali,Bowler
36,697279,Usman Shinwari,Bowler
37,43524,Umar Gul,Bowler
38,43590,Wahab Riaz,Bowler
39,43652,Younis Khan,Middle-order batsman
40,43685,Yasir Shah,Bowler
0,43692,Zafar Iqbal,Allrounder
1,39037,Azhar Ali,Top-order batsman
2,494230,Asif Ali,Middle-order batsman
3,316397,Asad Shafiq,Middle-order batsman
4,232491,Anwar Ali,Bowler
5,39821,Aizaz Cheema,Bowler
6,259410,Ahmed Shehzad,Opening batsman
7,39091,Abdur Rehman,Bowler
8,39836,Abdul Razzaq,Allrounder
9,343305,Bilawal Bhatti,Bowler
10,348144,Babar Azam,Batsman
11,40250,Fawad Alam,Top-order batsman
12,512191,Fakhar Zaman,Opening batsman
13,681117,Faheem Ashraf,Bowling allrounder
14,681305,Hasan Ali,Bowler
15,318788,Haris Sohail,Middle-order batsman
16,384518,Hammad Azam,Middle-order batsman
17,568276,Imam-ul-Haq,Top-order batsman
18,227758,Imad Wasim,Allrounder
19,259551,Junaid Khan,Bowler
20,41140,Khurram Manzoor,Opening batsman
21,41028,Kamran Akmal,Wicketkeeper batsman
22,41324,Mohammad Sami,Bowler
23,323389,Mohammad Rizwan,Batsman
24,348148,Mohammad Nawaz,Allrounder
25,429981,Mohammad Irfan,Bowler
26,41434,Mohammad Hafeez,Allrounder
27,41411,Mohammad Asif,Bowler
28,290948,Mohammad Amir,Bowler
29,41282,Mohammad Akram,Bowler
30,41378,Misbah-ul-Haq,Middle-order batsman
31,42321,Nasir Jamshed,Opening batsman
32,43265,Sohail Tanvir,Bowler
33,317252,Sohail Khan,Bowler
34,43266,Sohaib Maqsood,Middle-order batsman
35,42657,Shoaib Malik,Middle-order batsman
36,42655,Shoaib Akhtar,Bowler
37,227762,Sharjeel Khan,Opening batsman
38,42639,Shahid Afridi,Allrounder
39,922943,Shadab Khan,Allrounder
40,227760,Sarfaraz Ahmed,Wicketkeeper batsman
41,42628,Saqlain Mushtaq,Bowler
42,42683,Salman Butt,Batsman
43,42620,Saleem Elahi,Opening batsman
44,42699,Saeed Ajmal,Bowler
45,323244,Rahat Ali,Bowler
46,43524,Umar Gul,Bowler
47,288211,Umar Amin,Top-order batsman
48,317273,Umar Akmal,Middle-order batsman
49,43590,Wahab Riaz,Bowler
50,43652,Younis Khan,Middle-order batsman
51,43685,Yasir Shah,Bowler
