ID,NAME,Playing role
43692,Zafar Iqbal,Allrounder
39037,Azhar Ali,Top-order batsman
232491,Anwar Ali,Bowler
39821,Aizaz Cheema,Bowler
259410,Ahmed Shehzad,Opening batsman
39091,Abdur Rehman,Bowler
39836,Abdul Razzaq,Allrounder
343305,Bilawal Bhatti,Bowler
547092,Ehsan Adil,Bowler
40250,Fawad Alam,Top-order batsman
512191,Fakhar Zaman,Opening batsman
681117,Faheem Ashraf,Bowling allrounder
681305,Hasan Ali,Bowler
318788,Haris Sohail,Middle-order batsman
384518,Hammad Azam,Middle-order batsman
227758,Imad Wasim,Allrounder
259551,Junaid Khan,Bowler
41324,Mohammad Sami,Bowler
348148,Mohammad Nawaz,Allrounder
429981,Mohammad Irfan,Bowler
41434,Mohammad Hafeez,Allrounder
41411,Mohammad Asif,Bowler
290948,Mohammad Amir,Bowler
41282,Mohammad Akram,Bowler
43265,Sohail Tanvir,Bowler
317252,Sohail Khan,Bowler
42657,Shoaib Malik,Middle-order batsman
42655,Shoaib Akhtar,Bowler
42639,Shahid Afridi,Allrounder
1072470,Shaheen Afridi,Bowler
922943,Shadab Khan,Allrounder
42628,Saqlain Mushtaq,Bowler
42683,Salman Butt,Batsman
448243,Rumman Raees,Bowler
42699,Saeed Ajmal,Bowler
323244,Rahat Ali,Bowler
697279,Usman Shinwari,Bowler
43524,Umar Gul,Bowler
43590,Wahab Riaz,Bowler
43652,Younis Khan,Middle-order batsman
43685,Yasir Shah,Bowler
43692,Zafar Iqbal,Allrounder
39037,Azhar Ali,Top-order batsman
494230,Asif Ali,Middle-order batsman
316397,Asad Shafiq,Middle-order batsman
232491,Anwar Ali,Bowler
39821,Aizaz Cheema,Bowler
259410,Ahmed Shehzad,Opening batsman
39091,Abdur Rehman,Bowler
39836,Abdul Razzaq,Allrounder
343305,Bilawal Bhatti,Bowler
348144,Babar Azam,Batsman
40250,Fawad Alam,Top-order batsman
512191,Fakhar Zaman,Opening batsman
681117,Faheem Ashraf,Bowling allrounder
681305,Hasan Ali,Bowler
318788,Haris Sohail,Middle-order batsman
384518,Hammad Azam,Middle-order batsman
568276,Imam-ul-Haq,Top-order batsman
227758,Imad Wasim,Allrounder
259551,Junaid Khan,Bowler
41140,Khurram Manzoor,Opening batsman
41028,Kamran Akmal,Wicketkeeper batsman
41324,Mohammad Sami,Bowler
323389,Mohammad Rizwan,Batsman
348148,Mohammad Nawaz,Allrounder
429981,Mohammad Irfan,Bowler
41434,Mohammad Hafeez,Allrounder
41411,Mohammad Asif,Bowler
290948,Mohammad Amir,Bowler
41282,Mohammad Akram,Bowler
41378,Misbah-ul-Haq,Middle-order batsman
42321,Nasir Jamshed,Opening batsman
43265,Sohail Tanvir,Bowler
317252,Sohail Khan,Bowler
43266,Sohaib Maqsood,Middle-order batsman
42657,Shoaib Malik,Middle-order batsman
42655,Shoaib Akhtar,Bowler
227762,Sharjeel Khan,Opening batsman
42639,Shahid Afridi,Allrounder
922943,Shadab Khan,Allrounder
227760,Sarfaraz Ahmed,Wicketkeeper batsman
42628,Saqlain Mushtaq,Bowler
42683,Salman Butt,Batsman
42620,Saleem Elahi,Opening batsman
42699,Saeed Ajmal,Bowler
323244,Rahat Ali,Bowler
43524,Umar Gul,Bowler
288211,Umar Amin,Top-order batsman
317273,Umar Akmal,Middle-order batsman
43590,Wahab Riaz,Bowler
43652,Younis Khan,Middle-order batsman
43685,Yasir Shah,Bowler
